text,id,label,Abusive,Affectionate,Lyrics,Self,Adult,Not English,Other
Bitch please. Stay in your lane..,000,1.0,1,0,0,0,0,0,0
like if you got a bitch say that,001,1.0,1,0,0,0,0,0,0
just doing bitch ass shit smh,002,4.0,0,0,0,1,0,0,0
@alexissssrusssh bitch take this off 😒😒😒😒😒😒😒😒😒😒,003,1.0,1,0,0,0,0,0,0
@ENVYShann stop being a hoe 😂😂🙄,004,2.0,0,1,0,0,0,0,0
@TasteMy_Smileey bitch no fuck that. I'm bruising yo shit,005,1.0,1,0,0,0,0,0,0
You ain't never have a bitch understand you,006,1.0,1,0,0,0,0,0,0
BITCH BETTER HAVE MY MONEY #MTVStars Rihanna ⚓ Nicki Minaj ⚓ Lady Gaga ⚓ One Direction ⚓,007,3.0,0,0,1,0,0,0,0
I can't have kids bitch get your mind right 😌,008,1.0,1,0,0,0,0,0,0
I hate it when ugly people say I need my beauty sleep. Bitch you need to hibernate.,009,1.0,1,0,0,0,0,0,0
took a nigga bitch 😂,010,1.0,1,0,0,0,0,0,0
See like a lil bitch,011,1.0,1,0,0,0,0,0,0
Hoe ass bitch nigga,012,1.0,1,0,0,0,0,0,0
shut ur bitch ass up .,013,1.0,1,0,0,0,0,0,0
@animooalien HOE DONT DO IT I NEED U IN MY LAIFEEEEE,015,2.0,0,1,0,0,0,0,0
"Despite what everyone says, I don't think your mom is a ""dirty pirate whore"". dhe's actually quite clean for a  irate whore.",016,1.0,1,0,0,0,0,0,0
I'm such a bitch but I love it😂,017,2.0,0,1,0,0,0,0,0
When @BeffCrook 's mum answers the phone to you as 'Hollie the hoe' 👍🏼👍🏼👍🏼,018,2.0,0,1,0,0,0,0,0
I just really don't like this bitch,019,1.0,1,0,0,0,0,0,0
Fat ass bitch lol,020,1.0,1,0,0,0,0,0,0
bitch you know i dont like you??,021,1.0,1,0,0,0,0,0,0
"Just because people do things different to you doesn't mean you should be a complete bitch, maybe there's a reason why I do things my way!!",022,1.0,1,0,0,0,0,0,0
I will stay mad with my mad ass bitch!,023,2.0,0,1,0,0,0,0,0
bitch don't like my shit?,024,1.0,1,0,0,0,0,0,0
DUMB ASS BITCH. FUCK YOU.,025,1.0,1,0,0,0,0,0,0
Karma is a bitch but make sure that bitch is beautiful,026,7.0,0,0,0,0,0,0,1
I wish I can lay under my bitch Right now😩😩😩😩😭😭💯🙏🏼,027,1.0,1,0,0,0,0,0,0
@_Love_Dria hahahahahah tell me u love me whore,028,1.0,1,0,0,0,0,0,0
@PrenticeCollins imma buy that hoe soon,029,1.0,1,0,0,0,0,0,0
@snugglyoakley they don't like him he's a cunt,030,1.0,1,0,0,0,0,0,0
Had to leave that hoe alone to get my mind right,031,1.0,1,0,0,0,0,0,0
@LUFC fuck off and die massimo you stupid cunt!,033,1.0,1,0,0,0,0,0,0
"""You don't know me like that""- a hoe",034,1.0,1,0,0,0,0,0,0
I lost my virginity to a hoe 😂,035,1.0,1,0,0,0,0,0,0
"My bitch said "" the lambs "" 💀💀💀",036,2.0,0,1,0,0,0,0,0
"Like ""why you ain't hit me up bitch?""",037,1.0,1,0,0,0,0,0,0
@Reddakushgodd @loudpaK_97 @SheLovesFetti lol you ain't right bitch,038,1.0,1,0,0,0,0,0,0
Did u find ur bitch in me,040,4.0,0,0,0,1,0,0,0
Bitch only 18 got a baby da 2 just had a baby 3 months ago n pregnant ago glad dat wasnt my baby,041,1.0,1,0,0,0,0,0,0
bitch don't get mad,042,1.0,1,0,0,0,0,0,0
if I'm up then my bitch is up 😂😂😂,043,2.0,0,1,0,0,0,0,0
@LoveeSadiee bitch bye ✌🏾️,044,1.0,1,0,0,0,0,0,0
